,amount,name,notes,recipe,units
12,['1 '],cumin seeds,(jeera),kootu curry ,teaspoon 
13,['2'],dry red chilies,,kootu curry ,
14,['½ '],water ,for grinding coconut paste,kootu curry ,cup 
15,['2 '],coconut oil,,kootu curry ,tablespoons 
16,['½ '],mustard seeds,,kootu curry ,teaspoon 
17,['½ '],urad dal,(husked and split black gram),kootu curry ,teaspoon 
18,['8 to 10 '],curry leaves,,kootu curry ,
19,['1 '],dry red chili,,kootu curry ,
20,['⅓ '],grated fresh coconut,,kootu curry ,cup 
0,['1'],oats,(quick cooking oats),roasted oats chivda ,cup
1,['1'],oil for tempering,,roasted oats chivda ,tablespoon
2,['5 to 6'],almonds,(badam),roasted oats chivda ,
3,['5 to 6'],cashews,(kaju),roasted oats chivda ,
4,['1'],peanuts,(moongphali),roasted oats chivda ,tablespoon
5,['1'],golden raisins,(kishmish),roasted oats chivda ,tablespoon
6,['½'],sugar,,roasted oats chivda ,teaspoon
7,['1'],asafoetida,(hing),roasted oats chivda ,pinch
8,['1 to 2'],green chilies,- sliced or slit (hari mirch),roasted oats chivda ,
9,['8 to 10'],curry leaves,(kadi patta),roasted oats chivda ,
10,,salt as per taste,,roasted oats chivda ,
0,['1'],whole wheat flour,(atta),nevris ,cup
1,['1.5'],ghee,or oil,nevris ,tablespoons
2,['¼ to ⅓'],water,or add as required,nevris ,cup
3,['1/4'],salt,,nevris ,teaspoon
4,['1'],ghee,or oil,nevris ,tablespoon
5,['1'],freshly grated coconut,,nevris ,cup
6,['½'],+ 2 tablespoon grated jaggery,,nevris ,cup
7,['½'],cardamom powder,(choti elaichi powder),nevris ,teaspoon
8,['7 to 8'],"cashews,",chopped finely (kaju),nevris ,
9,['19 to 20'],golden raisins,"(or 1 tablespoon of golden raisins), chopped finely",nevris ,
0,['1 '],sour curd,"(dahi or yogurt), can also use fresh curd",mor rasam ,cup 
1,['2 '],water,,mor rasam ,cups 
2,['¼ '],turmeric powder,(haldi),mor rasam ,teaspoon 
3,['1 '],rice flour,,mor rasam ,tablespoon 
4,,salt as required,,mor rasam ,
5,['1 '],tuvar dal,(arhar dal or pigeon pea lentils),mor rasam ,tablespoon 
6,['2 '],dry red chilies,(sookhi lal mirch),mor rasam ,
7,['½ '],whole black pepper,(sabut kali mirch),mor rasam ,teaspoon 
8,['20 '],fenugreek seeds ,(methi seeds),mor rasam ,
9,['1 '],asafoetida,(hing),mor rasam ,pinch 
10,['1 '],oil ,(can use sesame oil or peanut oil),mor rasam ,tablespoon 
11,['½ '],mustard seeds,(rai),mor rasam ,teaspoon 
12,['8 to 10'],curry leaves,(kadi patta),mor rasam ,
13,['1 '],dry red chili,(sookhi lal mirch),mor rasam ,
0,['1.5'],thick poha,"(flattened rice, parched rice)",poha ,cups
1,['1'],large potato,"(aloo), cubed",poha ,
2,['1'],"small to medium onion,",finely chopped,poha ,
3,['1'],"small green chili,",finely chopped,poha ,
4,['1'],sprig curry leaves,(kadi patta) about 8 to 10 curry leaves,poha ,
5,['1'],mustard seeds,(rai),poha ,teaspoon
6,['1'],cumin seeds,(jeera),poha ,teaspoon
7,['1.5 to 2'],roasted peanuts,(moongphali),poha ,tablespoon
8,['½'],turmeric powder,(haldi),poha ,teaspoon
9,['1'],sugar,or more if you want it the poha to be more sweet,poha ,teaspoon
10,['2 to 3'],"grated fresh coconut,",optional,poha ,tablespoon
11,['1 to 2'],chopped coriander leaves,(cilantro leaves),poha ,tablespoons
12,,a few lemon wedges,or 1 teaspoon lemon juice or as required,poha ,
13,['2 to 2.5'],oil,,poha ,tablespoons
14,,salt,as required,poha ,
0,['2'],maida or all purpose flour,,samosa ,cups
1,['4'],ghee or oil,,samosa ,tablespoons
2,['5 to 6'],"water,",i added 5 tablespoons + 1 teaspoon water,samosa ,tablespoons
3,['1'],carom seeds,(ajwain),samosa ,teaspoon
4,,salt,"as required, i added ¾ teaspoon salt",samosa ,
5,,oil,for deep frying,samosa ,
6,['3'],medium sized potatoes,(aloo),samosa ,
7,['¾ to 1'],green peas,"(matar), fresh or frozen",samosa ,cup
8,['1'],"green chili + ½ inch ginger,",crushed to a coarse paste in a mortar and pestle,samosa ,
9,['½'],cumin seeds,(jeera),samosa ,teaspoon
10,['¼'],red chili powder,(lal mirch powder),samosa ,teaspoon
11,['1'],asafoetida,(hing),samosa ,pinch
12,['½'],oil,,samosa ,tablespoon
13,,salt,as required,samosa ,
14,['¼'],cinnamon,(dalchini),samosa ,inch
15,['2'],black peppercorns,(kali mirch),samosa ,
16,['1'],green cardamom,(hari elaichi or choti elaichi),samosa ,
17,['½'],cumin,(jeera),samosa ,teaspoon
18,['½'],fennel seeds,(saunf),samosa ,teaspoon
19,['1'],coriander seeds,(dhania),samosa ,teaspoon
20,['2'],dry pomegranate seeds,(anardana) or 1 teaspoon dry mango powder (amchur) * check notes for mango powder,samosa ,teaspoons
21,['3'],medium size potatoes,,samosa ,
22,['¾ to 1'],green peas,"(matar), fresh or frozen",samosa ,cup
23,['1'],"green chili and ½ inch ginger,",made in a paste or chopped finely,samosa ,
24,['¾'],garam masala powder,,samosa ,teaspoon
25,['¼ to 1'],red chilli powder,,samosa ,teaspoon
26,['1'],dry mango powder,(amchur),samosa ,teaspoon
27,['1'],fennel powder,(saunf powder),samosa ,teaspoon
28,['1'],coriander powder,(dhania powder),samosa ,teaspoon
29,['¾'],cumin seeds,(jeera),samosa ,teaspoon
30,['2'],chopped coriander leaves,(dhania patta),samosa ,tablespoons
31,['2 to 2.5'],oil,,samosa ,teaspoons
32,,salt,as required,samosa ,
0,['15 to 20'],small red onions,OR shallots (chote pyaaz),sirke wale pyaaz or pickled onions ,
1,['1'],white vinegar,OR apple cider OR balsamic vinegar,sirke wale pyaaz or pickled onions ,teaspoon
2,['¼'],water,,sirke wale pyaaz or pickled onions ,cup
3,['¾'],salt,OR add as required,sirke wale pyaaz or pickled onions ,teaspoon
0,['12-15'],litchis,or lychees,litchi lemonade ,
1,['3.5'],water,at room temperature or chilled,litchi lemonade ,cups
2,['1'],large lemon,or 2 medium sized lemons,litchi lemonade ,
3,,organic unrefined cane sugar as required,,litchi lemonade ,
4,,a few mint leaves for garnishing,(optional),litchi lemonade ,
5,,lemon slices for garnishing,(optional),litchi lemonade ,
6,,few ice cubes,(optional),litchi lemonade ,
0,['1'],cumin seeds,(jeera),matar paneer dhaba style ,teaspoon
1,['60'],onion,OR ⅓ cup chopped onion,matar paneer dhaba style ,grams
2,['1'],green chili,- chopped,matar paneer dhaba style ,
3,['1'],inch ginger,- chopped,matar paneer dhaba style ,
4,['5'],medium garlic cloves,- chopped,matar paneer dhaba style ,
5,['2'],chopped coriander leaves,,matar paneer dhaba style ,tablespoons
6,['215'],tomatoes,OR 3 medium tomatoes OR 1 cup chopped tomatoes,matar paneer dhaba style ,grams
7,['1'],coriander seeds,(sabut dhania),matar paneer dhaba style ,teaspoon
8,['1'],cinnamon,(dalchini),matar paneer dhaba style ,inch
9,['2'],green cardamoms,(chotti elaichi),matar paneer dhaba style ,
10,['5'],whole black peppers,(sabut kali mirch),matar paneer dhaba style ,
11,['3'],cloves,(lavang),matar paneer dhaba style ,
12,['12'],cashews,(kaju),matar paneer dhaba style ,
13,['3 to 4'],oil,,matar paneer dhaba style ,tablespoons
14,['¼'],turmeric powder,(haldi),matar paneer dhaba style ,teaspoon
15,['1'],kashmiri red chili powder or deghi mirch,,matar paneer dhaba style ,teaspoon
16,['1'],green peas,(matar) - fresh or frozen,matar paneer dhaba style ,cup
17,['2 to 2.25'],water or add as required,,matar paneer dhaba style ,cups
18,['200 to 250'],paneer,- cubed,matar paneer dhaba style ,grams
19,['½'],ginger,- julienne,matar paneer dhaba style ,inch
20,['½'],kasuri methi,- crushed,matar paneer dhaba style ,teaspoon
21,['¼'],garam masala powder,,matar paneer dhaba style ,teaspoon
22,['3'],low fat cream,,matar paneer dhaba style ,tablespoons
23,['3'],chopped coriander leaves,,matar paneer dhaba style ,tablespoons
24,,salt as required,,matar paneer dhaba style ,
0,['250 '],cauliflower ,or 2.5 to 3 cups cauliflower florets (phool gobi),cauliflower kurma ,grams 
1,['½ '],salt,- optional,cauliflower kurma ,teaspoon 
2,,hot water ,as required,cauliflower kurma ,
3,['½ '],fresh grated coconut,,cauliflower kurma ,cup 
4,['2 '],green chilies,- chopped,cauliflower kurma ,
5,['1 '],inch ginger,- chopped or 1 teaspoon chopped ginger,cauliflower kurma ,
6,['3 to 4 '],"garlic, chopped ",or 1 teaspoon chopped garlic,cauliflower kurma ,
7,['1 '],roasted chana dal ,"(husked, split roasted bengal gram)",cauliflower kurma ,tablespoon 
8,['10 to 12 '],cashews,,cauliflower kurma ,
9,['1 '],poppy seeds,- optional,cauliflower kurma ,teaspoon 
10,['½ '],fennel seeds,(saunf),cauliflower kurma ,teaspoon 
11,['1 '],cinnamon,(dalchini),cauliflower kurma ,inch 
12,['1 '],stone flower,- optional,cauliflower kurma ,tiny piece 
13,['⅓ to ½ '],water ,for grinding,cauliflower kurma ,cup 
14,['2'],oil,,cauliflower kurma ,tablespoons 
15,['1 '],cinnamon,(dalchini),cauliflower kurma ,inch 
16,['2 '],cloves,(lavang),cauliflower kurma ,
17,['½ '],fennel seeds,(saunf),cauliflower kurma ,teaspoon 
18,['8 to 10 '],curry leaves ,or 1 tej patta,cauliflower kurma ,
19,['⅓'],chopped onions ,"or 1 medium onion, chopped",cauliflower kurma ,cup 
20,['⅓'],chopped tomatoes ,"or 1 medium tomato, chopped",cauliflower kurma ,cup 
21,['1 to 2 '],turmeric powder,,cauliflower kurma ,pinches 
22,['1.5 to 1.75 '],water,or add as required,cauliflower kurma ,cups 
23,,salt ,as required,cauliflower kurma ,
24,['1 to 2 '],chopped coriander leaves,,cauliflower kurma ,tablespoons 
0,['3'],medium sized potatoes,,bread cutlet ,
1,['⅓'],green peas,,bread cutlet ,cup
2,['⅓'],grated carrots,,bread cutlet ,cup 
3,['3'],sandwich bread slices, - you can use any bread like whole wheat bread or brown bread or white bread,bread cutlet ,
4,['½'],ginger,"(adrak), roughly chopped",bread cutlet ,inch 
5,['2 '],garlic cloves,"(lahsun), roughly chopped",bread cutlet ,
6,['1'],green chili,"(hari mirch), roughly chopped",bread cutlet ,
7,['8 to 10'],black peppercorns,(sabut kali mirch),bread cutlet ,
8,['2'],turmeric powder,(haldi),bread cutlet ,pinch 
9,['¼'],red chilli powder,(lal mirch powder),bread cutlet ,teaspoon 
10,['¼'],garam masala powder,,bread cutlet ,teaspoon
11,,salt as required,,bread cutlet ,
12,['2 to 3 '],oil for frying,,bread cutlet ,tablespoons 
13,['1'],bread slice,for making bread crumbs,bread cutlet ,
14,['2'],chopped coriander leaves,,bread cutlet ,tablespoons 
0,['250'],palak,OR 5 cups roughly chopped palak (spinach),palak mushroom ,grams
1,['1'],green chili,- roughly chopped (hari mirch),palak mushroom ,
2,['½'],ginger,- roughly chopped (adrak),palak mushroom ,inch
3,['1 or 2'],garlic cloves,- roughly chopped (lahsun),palak mushroom ,
4,['200 to 250'],mushrooms,OR 2 cups chopped mushrooms,palak mushroom ,grams
5,['1'],medium onion,OR ½ cup finely chopped onion,palak mushroom ,
6,['1'],medium tomato,OR ½ cup finely chopped tomatoes,palak mushroom ,
7,['½'],ginger,- finely chopped OR 1 teaspoon finely chopped ginger (adrak),palak mushroom ,inch
8,['2 to 3'],garlic,- finely chopped OR 1 teaspoon finely chopped garlic (lahsun),palak mushroom ,
9,['¼'],turmeric powder,(haldi),palak mushroom ,teaspoon
10,['½'],red chili powder,(lal mirch powder),palak mushroom ,teaspoon
11,['¼'],garam masala powder,,palak mushroom ,teaspoon
12,['1'],"kasuri methi,",crushed (dry fenugreek leaves),palak mushroom ,teaspoon
13,['⅔ to ¾'],water,or add as required,palak mushroom ,cup
14,['2'],oil,,palak mushroom ,tablespoon
15,['2 to 3'],cream,,palak mushroom ,tablespoon
16,,salt as required,,palak mushroom ,
17,['½'],cumin seeds,(jeera),palak mushroom ,teaspoon
18,['1'],cinnamon,(dalchini),palak mushroom ,inch
19,['2'],green cardamoms,(choti elachi),palak mushroom ,
20,['3 to 4'],cloves,(lavang),palak mushroom ,
21,['1'],tejpatta,(indian bay leaf),palak mushroom ,
22,['1'],black cardamom,(badi elachi),palak mushroom ,
0,['500'],baby brinjals,(baingan),bharli vangi ,grams
1,['½'],peanuts,(moongphali),bharli vangi ,cup
2,['2'],sesame seeds,,bharli vangi ,tablespoon
3,['1'],dessicated coconut,,bharli vangi ,cup
4,['4-5'],"garlic cloves,",chopped (lahsun),bharli vangi ,
5,['½'],"ginger,",chopped (adrak),bharli vangi ,inch
6,['1'],"large onion,",chopped,bharli vangi ,
7,['1'],"tomato chopped,",,bharli vangi ,
8,['½'],turmeric powder,(haldi),bharli vangi ,teaspoon
9,['½'],red chili powder,(lal mirch powder),bharli vangi ,teaspoon
10,['¼'],garam masala powder,or goda masala powder,bharli vangi ,teaspoon
11,['½'],coriander powder,(dhania powder),bharli vangi ,teaspoon
12,['½'],cumin seeds powder,(jeera powder),bharli vangi ,teaspoon
13,['1'],asafoetida,(hing) - optional,bharli vangi ,pinch
14,['2 to 4'],oil,,bharli vangi ,tablespoon
15,['2'],water,,bharli vangi ,cups
16,,salt,as required,bharli vangi ,
0,['1'],arhar dal,(tuvar dal or split pigeon pea lentils),khatti dal ,cup
1,['2.5'],water,for pressure cooking the lentils,khatti dal ,cups
2,['1'],medium tomato,- chopped,khatti dal ,
3,['½'],"ginger,",finely chopped or grated (adrak),khatti dal ,inch
4,['2'],"garlic,",grated or crushed (lahsun),khatti dal ,
5,['1'],turmeric powder,(haldi),khatti dal ,pinch
6,['1'],seedless tamarind soaked in ½ cup water for 30 mins,,khatti dal ,tablespoon
7,['2 to 3'],"green chilies,",chopped or slit - add as required depending on the hotness of the chilies,khatti dal ,
8,['1'],coriander powder,(dhania powder),khatti dal ,teaspoon
9,['¼'],turmeric powder,(haldi),khatti dal ,teaspoon
10,['½'],red chili powder,(lal mirch powder),khatti dal ,teaspoon
11,['¾ to 1'],water to be added later or as required,,khatti dal ,cup
12,,salt as required,,khatti dal ,
13,['3 to 4'],oil,or ghee,khatti dal ,tablespoon
14,['2 to 3'],dry red chilies,(sookhi lal mirch) - kept whole or broken & deseeded - add as required,khatti dal ,
15,['6 to 8'],"garlic,",finely chopped (lahsun),khatti dal ,
16,['12 to 15'],curry leaves,(kadi patta),khatti dal ,
17,['½'],cumin seeds,(jeera),khatti dal ,teaspoon
18,['1'],asafoetida,(hing),khatti dal ,pinch
0,['300'],puff pastry sheets,or dough - homemade or store brought,veg puffs ,grams
1,['120'],potatoes,or 2 small to medium potatoes or ½ cup chopped potatoes in small cubes,veg puffs ,grams
2,['70'],carrots,or 1 small to medium carrot or ⅓ to ½ cup chopped carrot in small cubes,veg puffs ,grams
3,['60'],green peas,(matar) or ⅓ cup green peas,veg puffs ,grams
4,['100'],onion,or 1 large onion or 1 cup thinly sliced onions,veg puffs ,grams
5,['1.5 to 2'],oil,,veg puffs ,tablespoons
6,['½'],ginger-garlic paste,,veg puffs ,teaspoon
7,['¼'],turmeric powder,(haldi),veg puffs ,teaspoon
8,['¼ to ½'],red chili powder,(lal mirch powder),veg puffs ,teaspoon
9,['¼ to ½'],garam masala powder,,veg puffs ,teaspoon
10,,salt as required,,veg puffs ,
11,['2'],chopped coriander leaves,(dhania patta),veg puffs ,tablespoons
0,['100 '],noodles ,"- instant, whole wheat, hakka or all purpose flour",how to make fried noodles | crispy fried noodles ,grams 
1,['3.5 '],water,,how to make fried noodles | crispy fried noodles ,cups 
2,['½ '],salt ,or add as required,how to make fried noodles | crispy fried noodles ,teaspoon 
3,['¼'],oil,,how to make fried noodles | crispy fried noodles , teaspoon 
4,['2 '],corn flour,(corn starch),how to make fried noodles | crispy fried noodles ,tablespoons 
0,['1'],whole wheat flour,or 120 grams whole wheat flour (atta),atta dosa ,cup
1,['¼'],rice flour,(chawal ka atta),atta dosa ,cup
2,['2.5'],water,or add as required,atta dosa ,cups
3,['1'],chopped curry leaves,or 5 to 6 chopped curry leaves,atta dosa ,teaspoon
4,['4 to 5'],"shallots, sliced","or 1 small onion, chopped or 1/4 cup sliced shallots or chopped onions",atta dosa ,
5,['½'],"finely chopped ginger,",you can also add 1 tsp ginger if you want,atta dosa ,teaspoon
6,,a pinch of asafoetida,(hing),atta dosa ,
7,['½'],jeera,(cumin),atta dosa ,teaspoon
8,['1'],lime juice,,atta dosa ,teaspoon
9,,salt as required,,atta dosa ,
0,['1 '],all purpose flour,(maida),radhaballavi ,cup
1,['1 '],whole wheat flour,(atta),radhaballavi ,cup 
2,['2 '],ghee,,radhaballavi ,tablespoons 
3,['1 '],salt,,radhaballavi ,teaspoon 
4,['⅔ to ¾'],water ,or add as required,radhaballavi ,cup 
5,['½'],urad dal,or 115 grams urad dal,radhaballavi ,cup 
6,['1 '],water ,for soaking,radhaballavi ,cup 
7,['3'], water ,for grinding,radhaballavi ,tablespoons 
8,['1 '],fennel seeds,(saunf),radhaballavi ,teaspoon 
9,['1 '],cumin seeds,(jeera),radhaballavi ,teaspoon 
10,['1 to 2 '],dry red chilies,- broken and seeds removed,radhaballavi ,
11,['2 '],thin strands of mace,,radhaballavi ,
12,['½'],ghee,,radhaballavi ,tablespoon 
13,['1 '],generous pinch asafoetida,(hing),radhaballavi ,
14,['1 '],"ginger, ",roughly chopped,radhaballavi ,inch 
15,['1 '],sugar,,radhaballavi ,teaspoon 
16,,salt ,as required,radhaballavi ,
17,,oil for deep frying,,radhaballavi ,
0,['250'],paneer,or cottage cheese,paneer tikka ,grams
1,['1'],"bell pepper - green, yellow or red",(capsicum or shimla mirch),paneer tikka ,
2,['1'],medium sized onion,,paneer tikka ,
3,['200'],hung curd or thick curd,or greek yogurt,paneer tikka ,grams
4,['1'],ginger-garlic paste,or crushed ginger-garlic,paneer tikka ,tablespoon
5,['1'],ajwain,(carom seeds),paneer tikka ,teaspoon
6,['1 to 2'],kashmiri red chili powder,,paneer tikka ,teaspoons
7,['½'],turmeric powder,(haldi),paneer tikka ,teaspoon
8,['1'],jeera powder,(cumin seeds powder),paneer tikka ,teaspoon
9,['1'],dhania powder,(coriander powder),paneer tikka ,teaspoon
10,['½'],garam masala powder,,paneer tikka ,teaspoon
11,['1'],dry mango powder,(amchur powder),paneer tikka ,teaspoon
12,['1'],chaat masala,,paneer tikka ,teaspoon
13,['½'],"black pepper powder,",optional,paneer tikka ,teaspoon
14,['½'],lemon juice,,paneer tikka ,tablespoon
15,['1'],oil,,paneer tikka ,tablespoon
16,['½'],black salt,(optional),paneer tikka ,teaspoon
17,,regular salt as required,,paneer tikka ,
0,['4'],medium sized potatoes,(aloo),poori bhaji ,
1,['1'],"large onion,",chopped,poori bhaji ,
2,['1'],"green chili,",chopped,poori bhaji ,
3,['1'],mustard,(rai),poori bhaji ,teaspoon
4,['1'],cumin,(jeera),poori bhaji ,teaspoon
5,['1.5'],black gram,(urad dal),poori bhaji ,teaspoon
6,['¾'],water,,poori bhaji ,cup
7,['½'],turmeric powder,(haldi),poori bhaji ,teaspoon
8,['1'],asafoetida,(hing),poori bhaji ,pinch
9,['½ to ¾'],chopped coriander leaves,(dhania patta) or cilantro leaves,poori bhaji ,cup
10,['1'],"ginger,",finely chopped (adrak),poori bhaji ,inch
11,['12-15'],curry leaves,(kadi patta),poori bhaji ,
12,['2 or 3'],peanut oil,or sunflower oil,poori bhaji ,tablespoon
13,,salt as required,,poori bhaji ,
0,['1'],large corn cob,(makai),corn cheese toast ,
1,['¼'],chopped fresh basil,,corn cheese toast ,cup
2,['8'],bread slices,,corn cheese toast ,
3,['8'],cheese slices,,corn cheese toast ,
4,['1'],olive oil,,corn cheese toast ,tablespoon
5,['1'],oregano,or mixed herbs or italian seasoning,corn cheese toast ,teaspoon
6,['¼'],black pepper,or add as required,corn cheese toast ,teaspoon
